DataSet,Day,Money,Goods,GoodsPrice,Land,Labour,Capital
Firm1,1,-445.60318059012195,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,1,-631.7397221883903,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,1,-345.1010282030036,1,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,1,-197.3819570080432,2,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,1,-385.77292676050354,1,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,1,-856.3268831579277,4,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,1,-443.7507468575176,7,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,1,-546.0186598721025,10,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,1,-666.2210533562663,8,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,1,-237.68003416319604,2,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
Firm1,2,-1356.5975363068414,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D79940>>,0,0,0
Firm2,2,-1493.4569489760722,0,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D450>>,0,0,0
Firm3,2,-1273.5907091201975,2,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D7D590>>,0,0,0
Firm4,2,-1207.9338108626864,4,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FCE0>>,0,0,0
Firm5,2,-1357.46014884974,2,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7B5FE10>>,0,0,0
Firm6,2,-1824.4021637516125,8,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D75130>>,0,0,0
Firm7,2,-1528.4172113224256,14,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8C00>>,0,0,0
Firm8,2,-1861.2811281341155,19,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7DC8D10>>,0,0,0
Firm9,2,-1714.194807284304,16,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5A950>>,0,0,0
Firm10,2,-1158.3635985403052,8,<bound method Firm.goodsPrice of <__main__.Firm object at 0x0000018CA7D5AF50>>,0,0,0
