Day,TaxRate,TaxRevenue
1,100.0,10000.0
2,100.0,20000.0
3,100.0,30000.0
4,100.0,40000.0
5,100.0,50000.0
6,100.0,60000.0
7,100.0,70000.0
8,100.0,80000.0
9,100.0,90000.0
10,100.0,100000.0
11,100.0,110000.0
12,100.0,120000.0
13,100.0,130000.0
14,100.0,140000.0
15,100.0,150000.0
16,100.0,160000.0
17,100.0,170000.0
18,100.0,180000.0
19,100.0,190000.0
20,100.0,200000.0
21,100.0,210000.0
22,100.0,220000.0
23,100.0,230000.0
24,100.0,240000.0
25,100.0,250000.0
26,100.0,260000.0
27,100.0,270000.0
28,100.0,280000.0
29,100.0,290000.0
30,100.0,300000.0
31,100.0,310000.0
32,100.0,320000.0
33,100.0,330000.0
34,100.0,340000.0
35,100.0,350000.0
36,100.0,360000.0
37,100.0,370000.0
38,100.0,380000.0
39,100.0,390000.0
40,100.0,400000.0
41,100.0,410000.0
42,100.0,420000.0
43,100.0,430000.0
44,100.0,440000.0
45,100.0,450000.0
46,100.0,460000.0
47,100.0,470000.0
48,100.0,480000.0
49,100.0,490000.0
50,100.0,500000.0
51,100.0,510000.0
52,100.0,520000.0
53,100.0,530000.0
54,100.0,540000.0
55,100.0,550000.0
56,100.0,560000.0
57,100.0,570000.0
58,100.0,580000.0
59,100.0,590000.0
60,100.0,600000.0
61,100.0,610000.0
62,100.0,620000.0
63,100.0,630000.0
64,100.0,640000.0
65,100.0,650000.0
66,100.0,660000.0
67,100.0,670000.0
68,100.0,680000.0
69,100.0,690000.0
70,100.0,700000.0
71,100.0,710000.0
72,100.0,720000.0
73,100.0,730000.0
74,100.0,740000.0
75,100.0,750000.0
76,100.0,760000.0
77,100.0,770000.0
78,100.0,780000.0
79,100.0,790000.0
80,100.0,800000.0
81,100.0,810000.0
82,100.0,820000.0
83,100.0,830000.0
84,100.0,840000.0
85,100.0,850000.0
86,100.0,860000.0
87,100.0,870000.0
88,100.0,880000.0
89,100.0,890000.0
90,100.0,900000.0
91,100.0,910000.0
92,100.0,920000.0
93,100.0,930000.0
94,100.0,940000.0
95,100.0,950000.0
96,100.0,960000.0
97,100.0,970000.0
98,100.0,980000.0
99,100.0,990000.0
100,100.0,1000000.0
101,100.0,1010000.0
102,100.0,1020000.0
103,100.0,1030000.0
104,100.0,1040000.0
105,100.0,1050000.0
106,100.0,1060000.0
107,100.0,1070000.0
108,100.0,1080000.0
