DataSet,Day,Income,Goods,Land,Labour,Capital
Household1,1,-0.21525310190167168,6,8410,6795,5689
Household2,1,1.9736308219531882,3,2786,4805,3570
Household3,1,-1.7826618119194606,5,4083,9125,1379
Household4,1,24.13987615976408,9,9069,3316,5666
Household5,1,-0.5874314193140577,8,3690,2534,3674
Household6,1,-2.096127827375355,7,2227,8905,6264
Household7,1,-1.9234833124958328,7,8339,2571,2014
Household8,1,13.36580798502311,9,6838,7533,2778
Household9,1,-3.589316789409592,5,4586,9874,3430
Household10,1,-2.2427336649140965,6,5499,2706,1443
Household1,2,-0.43050620380335225,12,8400,6785,5679
Household2,2,3.947261643906346,6,2776,4795,3560
Household3,2,-3.5653236238389283,10,4073,9115,1369
Household4,2,9.467448578883175,19,9059,3306,5656
Household5,2,-1.1748628386281297,16,3680,2524,3664
Household6,2,3.7757112683645406,13,2217,8895,6254
Household7,2,4.121000298123613,13,8329,2561,2004
Household8,2,26.73161597004625,18,6828,7523,2768
Household9,2,0.789333344296077,9,4576,9864,3420
Household10,2,3.4824995932870824,11,5489,2696,1433
Household1,3,-0.6457593057050328,18,8390,6775,5669
Household2,3,-2.047074457255773,10,2766,4785,3550
Household3,3,-0.9127600033532737,17,4063,9105,1359
Household4,3,2.7629879211175314,28,9049,3296,5646
Household5,3,-1.7622942579422016,24,3670,2514,3654
Household6,3,-2.2620147660980727,20,2207,8885,6244
Household7,3,-1.7440812214594779,20,8319,2551,1994
Household8,3,2.6922407458151074,28,6818,7513,2758
Household9,3,-2.799983445113524,14,4566,9854,3410
Household10,3,-2.071440340944191,17,5479,2686,1423
Household1,4,-0.8610124076067418,24,8380,6765,5659
Household2,4,-0.07344363530257247,13,2756,4775,3540
Household3,4,-2.6954218152727307,22,4053,9095,1349
Household4,4,1.978973059783037,36,9039,3286,5636
Household5,4,-2.3497256772562736,32,3660,2504,3644
Household6,4,3.6098243296418335,26,2197,8875,6234
Household7,4,4.3004023891599505,26,8309,2541,1984
Household8,4,16.058048730838237,37,6808,7503,2748
Household9,4,1.5786666885921452,18,4556,9844,3400
Household10,4,3.653792917256988,22,5469,2676,1413
Household1,5,-1.0762655095084508,30,8370,6755,5649
Household2,5,1.900187186650614,16,2746,4765,3530
Household3,5,3.4898832959230646,26,4043,9085,1339
Household4,5,26.118849219547123,45,9029,3276,5626
Household5,5,-2.9371570965703455,40,3650,2494,3634
Household6,5,-2.42790170482078,33,2187,8865,6224
Household7,5,-1.5646791304231407,33,8299,2531,1974
Household8,5,-3.4680012283524633,46,6798,7493,2738
Household9,5,-2.0106501008174558,23,4546,9834,3390
Household10,5,-1.9001470169742856,28,5459,2666,1403
Household1,6,-1.2915186114101598,36,8360,6745,5639
Household2,6,3.873818008603779,19,2736,4755,3520
Household3,6,-1.6039847853135925,31,4033,9075,1329
Household4,6,11.44642163866622,55,9019,3266,5616
Household5,6,-3.5245885158844175,48,3640,2484,3624
Household6,6,3.4439373909191264,39,2177,8855,6214
Household7,6,-3.4881624429189753,40,8289,2521,1964
Household8,6,9.897806756670661,55,6788,7483,2728
Household9,6,2.3680000328882134,27,4536,9824,3380
Household10,6,3.8250862412268933,33,5449,2656,1393
Household1,7,-1.5067717133118688,42,8350,6735,5629
Household2,7,-2.1205180925583402,23,2726,4745,3510
Household3,7,-3.38664659723306,36,4023,9065,1319
Household4,7,-3.2260059422146874,65,9009,3256,5606
Household5,7,3.8559469879167736,55,3630,2474,3614
Household6,7,-2.593788643543487,46,2167,8845,6204
Household7,7,2.556321167700469,46,8279,2511,1954
Household8,7,23.26361474169383,64,6778,7473,2718
Household9,7,-1.2213167565213876,32,4526,9814,3370
Household10,7,-1.7288536930043517,39,5439,2646,1383
Household1,8,-1.7220248152135778,48,8340,6725,5619
Household2,8,-0.14688727060513962,26,2716,4735,3500
Household3,8,2.798658513962735,40,4013,9055,1309
Household4,8,20.913870217549412,74,8999,3246,5596
Household5,8,-2.2707299558476244,64,3620,2464,3604
Household6,8,3.2780504521964193,52,2157,8835,6194
Household7,8,-3.902059210169032,53,8269,2501,1944
Household8,8,-0.7757604825373132,74,6768,7463,2708
Household9,8,3.1573333771842815,36,4516,9804,3360
Household10,8,3.9963795651968272,44,5429,2636,1373
Household1,9,-1.9372779171152867,54,8330,6715,5609
Household2,9,1.8267435513480468,29,2706,4725,3490
Household3,9,-2.295209567273922,45,4003,9045,1299
Household4,9,6.241442636668506,84,8989,3236,5586
Household5,9,-2.8581613751616857,72,3610,2454,3594
Household6,9,-2.7596755822662224,59,2147,8825,6184
Household7,9,2.1424244004504036,59,8259,2491,1934
Household8,9,12.590047502485817,83,6758,7453,2698
Household9,9,-0.43198341222531944,41,4506,9794,3350
Household10,9,-1.5575603690344177,50,5419,2626,1363
Household1,10,-2.1525310190169957,60,8320,6705,5599
Household2,10,3.800374373301212,32,2696,4715,3480
Household3,10,3.8900955439218734,49,3993,9035,1289
Household4,10,-2.5105391477812447,93,8979,3226,5576
Household5,10,-3.4455927944757576,80,3600,2444,3584
Household6,10,3.112163513473684,65,2137,8815,6174
Household7,10,-4.315955977419097,66,8249,2481,1924
Household8,10,25.955855487508956,92,6748,7443,2688
Household9,10,3.9466667214803497,45,4496,9784,3340
Household10,10,4.167672889166761,55,5409,2616,1353
Household1,11,-2.3677841209187047,66,8310,6695,5589
Household2,11,-2.1939617278609074,36,2686,4705,3470
Household3,11,-1.2037725373147836,54,3983,9025,1279
Household4,11,21.62933701198285,102,8969,3216,5566
Household5,11,3.9349427093254334,87,3590,2434,3574
Household6,11,-2.925562520988958,72,2127,8805,6164
Household7,11,1.728527633200338,72,8239,2471,1914
Household8,11,1.9164802632778137,102,6738,7433,2678
Household9,11,-4.177547133302925,50,4486,9774,3330
Household10,11,-1.3862670450644838,61,5399,2606,1343
Household1,12,-3.806728018876891,72,8300,6685,5579
Household2,12,-0.22033090590770676,39,2676,4695,3460
Household3,12,-2.9864343492342513,59,3973,9015,1269
Household4,12,6.956909431101945,112,8959,3206,5556
Household5,12,-2.1917342344389645,96,3580,2424,3564
Household6,12,2.9462765747509483,78,2117,8795,6154
Household7,12,-0.1949556792954894,79,8229,2461,1904
Household8,12,15.282288248300944,111,6728,7423,2668
Household9,12,0.20110300040274787,54,4476,9764,3320
Household10,12,-3.629000709978568,67,5389,2596,1333
Household1,13,-0.7107748514614283,78,8290,6675,5569
Household2,13,1.7532999160454796,42,2666,4685,3450
Household3,13,3.198870761961544,63,3963,9005,1259
Household4,13,-1.7950723533478055,121,8949,3196,5546
Household5,13,-2.779165653753026,104,3570,2414,3554
Household6,13,-3.6847483179981033,85,2107,8785,6144
Household7,13,-2.118438991791308,86,8219,2451,1894
Household8,13,3.724205212225506,119,6718,7413,2658
Household9,13,-3.388213789006853,59,4466,9754,3310
Household10,13,2.096232548222611,72,5379,2586,1323
Household1,14,-0.9260279533631515,84,8280,6665,5559
Household2,14,3.726930737998652,45,2656,4675,3440
Household3,14,-1.894997319275113,68,3953,8995,1249
Household4,14,22.34480380641629,130,8939,3186,5536
Household5,14,-3.3665970730670978,112,3560,2404,3544
Household6,14,2.18709077774181,91,2097,8775,6134
Household7,14,3.926044618828138,92,8209,2441,1884
Household8,14,17.090013197248624,128,6708,7403,2648
Household9,14,0.990436344698816,63,4456,9744,3300
Household10,14,-4.68139818206514,78,5369,2576,1313
Household1,15,-1.1412810552648605,90,8270,6655,5549
Household2,15,-2.2674053631634603,49,2646,4665,3430
Household3,15,4.290307791920682,72,3943,8985,1239
Household4,15,7.672376225535384,140,8929,3176,5526
Household5,15,4.013938430734093,119,3550,2394,3534
Household6,15,-4.443934115007213,98,2087,8765,6124
Household7,15,-1.939036900754953,99,8199,2431,1874
Household8,15,-2.436036761942077,137,6698,7393,2638
Household9,15,-2.598880444710785,68,4446,9734,3290
Household10,15,1.0438350761360429,83,5359,2566,1303
Household1,16,-1.3565341571665694,96,8260,6645,5539
Household2,16,-0.2937745412102597,52,2636,4655,3420
Household3,16,-0.8035602893159748,77,3933,8975,1229
Household4,16,-1.0796055589143663,149,8919,3166,5516
Household5,16,-2.1127385130303047,128,3540,2384,3524
Household6,16,1.4279049807327002,104,2077,8755,6114
Household7,16,4.105446709864475,105,8189,2421,1864
Household8,16,10.929771223081048,146,6688,7383,2628
Household9,16,1.7797696889948842,72,4436,9724,3280
Household10,16,-1.1988985887780341,89,5349,2556,1293
Household1,17,-1.5717872590682784,102,8250,6635,5529
Household2,17,1.6798562807429267,55,2626,4645,3410
Household3,17,-2.5862221012354425,82,3923,8965,1219
Household4,17,23.060270600849723,158,8909,3156,5506
Household5,17,-2.700169932344366,136,3530,2374,3514
Household6,17,-0.6682228466426494,111,2067,8745,6104
Household7,17,-1.7596348097186159,112,8179,2411,1854
Household8,17,24.295579208104215,155,6678,7373,2618
Household9,17,-1.8095471004147168,77,4426,9714,3270
Household10,17,-3.4416322536921324,95,5339,2546,1283
Household1,18,-1.7870403609699874,108,8240,6625,5519
Household2,18,3.653487102696099,58,2616,4635,3400
Household3,18,3.599083009960353,86,3913,8955,1209
Household4,18,8.387843019968823,168,8899,3146,5496
Household5,18,-3.287601351658438,144,3520,2364,3504
Household6,18,-2.7643506740180186,118,2057,8735,6094
Household7,18,4.2848488009008125,118,8169,2401,1844
Household8,18,0.25620398387307297,165,6668,7363,2608
Household9,18,2.5691030332909524,81,4416,9704,3260
Household10,18,2.2836010045090465,100,5329,2536,1273
Household1,19,-2.0022934628716964,114,8230,6615,5509
Household2,19,-2.3408489984660132,62,2606,4625,3390
Household3,19,-1.4947850712763042,91,3903,8945,1199
Household4,19,-0.3641387644809271,177,8889,3136,5486
Household5,19,4.092934152142753,151,3510,2354,3494
Household6,19,3.107488421721877,124,2047,8725,6084
Household7,19,-1.5802327186822787,125,8159,2391,1834
Household8,19,13.622011968896203,174,6658,7353,2598
Household9,19,-1.0202137561186486,86,4406,9694,3250
Household10,19,-4.49402972577869,106,5319,2526,1263
Household1,20,-2.2175465647734054,120,8220,6605,5499
Household2,20,-0.36721817651281263,65,2596,4615,3380
Household3,20,-3.277446883195772,96,3893,8935,1189
Household4,20,23.775737395283162,186,8879,3126,5476
