Day,Price,QuantityDemanded,QuantitySupplied
0,10.1,80,50
1,10.2,79.8,50.3
2,10.299999999999999,79.6,50.6
3,10.399999999999999,79.4,50.9
4,10.499999999999998,79.2,51.2
5,10.599999999999998,79.0,51.5
6,10.699999999999998,78.8,51.8
7,10.799999999999997,78.6,52.1
8,10.899999999999997,78.4,52.4
9,10.999999999999996,78.2,52.7
10,11.099999999999996,78.0,53.0
11,11.199999999999996,77.8,53.3
12,11.299999999999995,77.6,53.6
13,11.399999999999995,77.4,53.9
14,11.499999999999995,77.2,54.2
15,11.599999999999994,77.0,54.5
16,11.699999999999994,76.8,54.8
17,11.799999999999994,76.6,55.1
18,11.899999999999993,76.4,55.4
19,11.999999999999993,76.2,55.7
20,12.099999999999993,76.0,56.0
21,12.199999999999992,75.8,56.3
22,12.299999999999992,75.6,56.6
23,12.399999999999991,75.4,56.9
24,12.499999999999991,75.2,57.2
25,12.59999999999999,75.0,57.5
26,12.69999999999999,74.8,57.8
27,12.79999999999999,74.6,58.1
28,12.89999999999999,74.4,58.4
29,12.99999999999999,74.2,58.7
30,13.099999999999989,74.0,59.0
31,13.199999999999989,73.8,59.3
32,13.299999999999988,73.6,59.6
33,13.399999999999988,73.4,59.9
34,13.499999999999988,73.2,60.2
35,13.599999999999987,73.0,60.5
36,13.699999999999987,72.8,60.8
37,13.799999999999986,72.6,61.1
38,13.899999999999986,72.4,61.4
39,13.999999999999986,72.2,61.7
40,14.099999999999985,72.0,62.0
41,14.199999999999985,71.8,62.3
42,14.299999999999985,71.6,62.6
43,14.399999999999984,71.4,62.9
44,14.499999999999984,71.2,63.2
45,14.599999999999984,71.0,63.5
46,14.699999999999983,70.8,63.8
47,14.799999999999983,70.6,64.1
48,14.899999999999983,70.4,64.4
49,14.999999999999982,70.2,64.7
50,15.099999999999982,70.0,65.0
51,15.199999999999982,69.8,65.3
52,15.299999999999981,69.6,65.6
53,15.39999999999998,69.4,65.9
54,15.49999999999998,69.2,66.2
55,15.59999999999998,69.0,66.5
56,15.69999999999998,68.8,66.8
57,15.79999999999998,68.6,67.1
58,15.899999999999979,68.4,67.4
59,15.999999999999979,68.2,67.7
60,16.09999999999998,68.0,68.0
